City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
543,Veraval,IN,83.08,few clouds,20.9,70.3667,Lords Inn Somnath
545,Ca Mau,VN,80.31,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
546,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
550,Tabas,IR,75.42,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
568,Lake Jackson,US,87.15,clear sky,29.0339,-95.4344,"Candlewood Suites Lake Jackson-Clute, an IHG Hotel"
570,Takoradi,GH,79.61,light rain,4.8845,-1.7554,Raybow International Hotel
574,Powell,US,72.81,scattered clouds,40.1578,-83.0752,The Brig
575,Arvin,US,87.4,clear sky,35.2091,-118.8284,Geo Rizo
576,Benguela,AO,75.58,clear sky,-12.5763,13.4055,Hotel Praia Morena
579,Linhares,BR,71.42,scattered clouds,-19.3911,-40.0722,Hotel Conceição
581,Dorado,PR,84.09,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
582,Jasper,US,78.85,clear sky,37.2001,-94.3502,Guest House Motel
583,Voh,NC,83.55,broken clouds,-20.9667,164.7,Le gîte du Koniambo
585,Sao Felix Do Xingu,BR,74.01,light rain,-6.6447,-51.995,Rio Xingu Camping
586,Lazaro Cardenas,MX,83.98,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
587,Pringsewu,ID,76.44,overcast clouds,-5.3582,104.9744,Urban Style by Front One
590,Ambulu,ID,78.37,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
593,Caucaia,BR,82.04,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
594,Doba,TD,77.76,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
595,Banda Aceh,ID,80.74,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
599,Takaungu,KE,77.0,clear sky,-3.6837,39.8566,Takaungu House
602,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
605,Tabou,CI,79.57,overcast clouds,4.423,-7.3528,hotêl doufoulougou
606,Kavaratti,IN,80.22,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
608,Paracuru,BR,82.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
614,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
616,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
617,Ha Tinh,VN,70.9,overcast clouds,18.3333,105.9,Phú Quý
620,Fuente De Oro,CO,72.68,light rain,3.4594,-73.6128,Urbanización Casabrava
621,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
625,Pansoy,PH,81.25,overcast clouds,13.1825,122.5989,
