City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
95,Bambous Virieux,-20.3428,57.7575,75.45,73,75,11.5,broken clouds,MU,2022-05-16 23:34:00
96,Moree,-29.4667,149.85,61.7,61,0,9.42,clear sky,AU,2022-05-16 23:24:32
97,Pisco,-13.7,-76.2167,68.05,73,0,8.05,clear sky,PE,2022-05-16 23:34:01
98,Rincon,32.296,-81.2354,82.36,62,37,6.04,scattered clouds,US,2022-05-16 23:34:02
99,Tukrah,32.5341,20.5791,69.96,32,0,5.08,clear sky,LY,2022-05-16 23:34:03
100,Laguna,38.421,-121.4238,85.75,39,0,10.36,clear sky,US,2022-05-16 23:24:15
101,Bokoro,12.3807,17.0568,93.09,33,75,7.92,broken clouds,TD,2022-05-16 23:34:04
102,Qaanaaq,77.484,-69.3632,20.26,76,45,4.81,scattered clouds,GL,2022-05-16 23:34:05
103,Cape Town,-33.9258,18.4232,69.91,33,0,10.36,clear sky,ZA,2022-05-16 23:34:05
104,Alugan,12.2188,125.4808,83.82,74,99,9.6,overcast clouds,PH,2022-05-16 23:34:06
105,Baijiantan,45.6333,85.1833,66.25,48,26,2.73,scattered clouds,CN,2022-05-16 23:34:08
106,Lebedyan,53.0194,39.1664,42.12,89,100,10.98,overcast clouds,RU,2022-05-16 23:34:08
107,Kropotkin,45.4375,40.5756,51.48,78,31,8.3,scattered clouds,RU,2022-05-16 23:34:09
108,Namibe,-15.1961,12.1522,72.09,61,4,6.29,clear sky,AO,2022-05-16 23:31:31
109,Poltavka,54.3663,71.7632,59.05,68,66,10.11,broken clouds,RU,2022-05-16 23:34:10
110,Broome,42.2506,-75.833,59.85,89,100,9.22,overcast clouds,US,2022-05-16 23:34:11
111,Butaritari,3.0707,172.7902,82.6,69,88,10.33,overcast clouds,KI,2022-05-16 23:34:11
112,Deputatskiy,69.3,139.9,24.53,86,98,0.63,overcast clouds,RU,2022-05-16 23:34:12
113,Coquimbo,-29.9533,-71.3436,55.13,82,20,5.75,few clouds,CL,2022-05-16 23:34:13
114,Geraldton,-28.7667,114.6,52.21,82,0,12.66,clear sky,AU,2022-05-16 23:31:30
115,Kapaa,22.0752,-159.319,82.38,78,0,9.22,clear sky,US,2022-05-16 23:32:27
116,Romny,50.751,33.4747,41.43,78,3,8.16,clear sky,UA,2022-05-16 23:34:14
117,Mayumba,-3.432,10.6554,77.14,91,96,2.51,overcast clouds,GA,2022-05-16 23:34:15
118,Cayenne,4.9333,-52.3333,76.08,1,20,0.0,few clouds,GF,2022-05-16 23:34:16
119,Port Hardy,50.6996,-127.4199,53.78,62,100,12.66,light intensity shower rain,CA,2022-05-16 23:30:22
120,Codrington,-38.2667,141.9667,50.97,81,100,10.76,overcast clouds,AU,2022-05-16 23:34:17
121,Tasiilaq,65.6145,-37.6368,37.56,99,100,5.37,light rain,GL,2022-05-16 23:34:17
122,Lugovoy,42.9472,72.7644,58.21,64,62,4.12,broken clouds,KZ,2022-05-16 23:34:18
123,Namatanai,-3.6667,152.4333,84.45,66,81,4.23,broken clouds,PG,2022-05-16 23:34:19
124,Hilo,19.7297,-155.09,84.27,82,100,11.5,haze,US,2022-05-16 23:34:20
